t,fx,fy,fz,tx,ty,tz
1708857503929545,-9.266779612499999,0.11832658333333335,0.1588825000000007,-0.006825450000000011,-0.4051392083333333,0.008595666666666696
1708857503930982,-9.2663136125,0.10748558333333336,0.18088249999999917,-0.006955449999999974,-0.40436920833333334,0.008096666666666696
1708857503932413,-9.250796612499999,0.10648458333333333,0.17518250000000002,-0.0065464499999999815,-0.40404920833333324,0.009267666666666674
1708857503933829,-9.258118612499999,0.11257858333333337,0.17478249999999917,-0.007343449999999974,-0.4047192083333332,0.00913566666666668
1708857503935266,-9.2763486125,0.11256258333333335,0.15938249999999954,-0.006001449999999964,-0.40426920833333335,0.008744666666666678
1708857503936722,-9.3039176125,0.09948458333333343,0.15928249999999977,-0.007220449999999989,-0.4065692083333333,0.008616666666666689
1708857503938143,-9.2882156125,0.09728858333333334,0.1674825000000002,-0.006606449999999986,-0.40536920833333323,0.009017666666666674
1708857503939569,-9.283567612499999,0.10529358333333338,0.15218250000000033,-0.006958450000000005,-0.4059392083333332,0.008991666666666676
1708857503941028,-9.2755366125,0.10737958333333342,0.19748249999999956,-0.00671944999999996,-0.40413920833333317,0.008917666666666685
1708857503942468,-9.296194612499999,0.0845995833333334,0.19058249999999965,-0.006743449999999984,-0.4067692083333333,0.009038666666666695
1708857503943904,-9.3044466125,0.0841675833333334,0.18228249999999946,-0.006740450000000009,-0.40616920833333336,0.00864566666666669
1708857503945309,-9.2966496125,0.09520058333333337,0.18318249999999914,-0.006395449999999969,-0.40741920833333334,0.009158666666666676
1708857503946753,-9.300512612499999,0.08495658333333334,0.17478249999999917,-0.006738450000000007,-0.40494920833333337,0.008776666666666683
1708857503948161,-9.3125716125,0.08518858333333335,0.17478249999999917,-0.006938449999999985,-0.40670920833333335,0.008640666666666685
1708857503949605,-9.300170612499999,0.08594658333333338,0.17538249999999955,-0.007165449999999962,-0.40570920833333324,0.009165666666666683
1708857503951038,-9.2972186125,0.09002158333333343,0.1682825000000001,-0.006019449999999982,-0.4071592083333332,0.009276666666666683
1708857503952451,-9.3146416125,0.08889358333333341,0.22878249999999944,-0.005340449999999997,-0.4060592083333333,0.008973666666666685
1708857503953894,-9.3264826125,0.1090775833333334,0.19088250000000073,-0.005965449999999983,-0.40797920833333323,0.009058666666666687
1708857503955362,-9.2929496125,0.09120258333333342,0.18358249999999998,-0.0062284499999999965,-0.40631920833333324,0.009428666666666696
1708857503956797,-9.2882586125,0.08701058333333334,0.16728250000000067,-0.006511449999999974,-0.4049692083333333,0.008888666666666684
1708857503958186,-9.3008076125,0.09690258333333335,0.1909825000000005,-0.006588449999999968,-0.4067392083333333,0.009307666666666686
1708857503959629,-9.3182436125,0.08260658333333337,0.1677824999999995,-0.00586144999999999,-0.4065192083333332,0.008904666666666672
1708857503961058,-9.314333612499999,0.08532258333333342,0.1909825000000005,-0.00560944999999996,-0.40694920833333337,0.009055666666666684
1708857503962494,-9.2922826125,0.08036258333333335,0.17498250000000048,-0.006584449999999964,-0.40541920833333334,0.008896666666666692
1708857503963911,-9.276439612499999,0.10792458333333332,0.23528250000000028,-0.005604449999999983,-0.4047692083333333,0.008560666666666689
1708857503965350,-9.2922626125,0.08561458333333338,0.16718249999999912,-0.0065224499999999574,-0.40567920833333326,0.008754666666666688
1708857503966786,-9.2848526125,0.09985258333333336,0.18368249999999975,-0.006135449999999987,-0.4056692083333332,0.009558666666666688
1708857503968227,-9.2878246125,0.09875258333333337,0.1674825000000002,-0.006808449999999966,-0.40650920833333337,0.009007666666666692
1708857503969659,-9.3143936125,0.09020758333333334,0.16078249999999983,-0.0057744499999999865,-0.40682920833333325,0.009287666666666694
1708857503971080,-9.267016612499999,0.07948758333333339,0.15138250000000042,-0.0064144499999999605,-0.40533920833333326,0.008452666666666692
1708857503972526,-9.243162612499999,0.10087558333333335,0.17428250000000034,-0.005525449999999987,-0.40375920833333334,0.008602666666666675
1708857503973956,-9.262991612499999,0.08101558333333336,0.15968250000000062,-0.006619449999999971,-0.40475920833333323,0.008990666666666675
1708857503975395,-9.251403612499999,0.10571058333333339,0.15938249999999954,-0.0058984499999999995,-0.40341920833333333,0.008860666666666683
1708857503976810,-9.2706266125,0.09174458333333335,0.14458250000000028,-0.007361449999999992,-0.4051792083333333,0.009108666666666682
1708857503978270,-9.235477612499999,0.10102358333333339,0.16738250000000043,-0.005094449999999973,-0.4041092083333332,0.008981666666666693
1708857503979679,-9.275488612499998,0.08420458333333336,0.15998249999999992,-0.006783449999999969,-0.4049892083333332,0.009132666666666678
1708857503981110,-9.292359612499999,0.08978558333333342,0.1522825000000001,-0.006694449999999963,-0.40504920833333335,0.009007666666666692
1708857503982546,-9.2717916125,0.10981358333333335,0.14438250000000075,-0.006483450000000002,-0.4040592083333333,0.008988666666666673
1708857503983960,-9.2471946125,0.12851958333333335,0.18278250000000007,-0.00606344999999997,-0.4042592083333333,0.009271666666666678
1708857503985407,-9.2009016125,0.11926758333333343,0.17308249999999958,-0.006026449999999961,-0.40009920833333334,0.00832966666666668
1708857503986876,-9.2421246125,0.11050958333333338,0.18948250000000044,-0.006509449999999972,-0.4036492083333333,0.008750666666666684
1708857503988281,-9.259744612499999,0.09740758333333333,0.1522825000000001,-0.005987450000000005,-0.40431920833333324,0.00911666666666669
1708857503989701,-9.3093526125,0.09634358333333337,0.17628249999999923,-0.006805449999999991,-0.40599920833333336,0.009701666666666692
1708857503991145,-9.3460496125,0.1168225833333334,0.16078249999999983,-0.006947449999999966,-0.41141920833333334,0.00914566666666669
