t,fx,fy,fz,tx,ty,tz
1709144270167576,-9.1131766125,0.09820858333333338,-0.3017974999999993,-0.016193449999999998,-0.39267920833333336,-0.001198333333333329
1709144270168982,-9.1122476125,0.1098535833333334,-0.30990749999999956,-0.016715449999999965,-0.39409920833333334,-0.0014843333333333097
1709144270170439,-9.1135786125,0.11884758333333334,-0.2943075000000004,-0.01572144999999997,-0.3935992083333332,-0.0013283333333333203
1709144270171885,-9.103959612499999,0.10811958333333338,-0.3176775000000003,-0.016750449999999972,-0.3929292083333332,-0.0014903333333333157
1709144270173301,-9.1039326125,0.09844658333333334,-0.3101874999999996,-0.016645450000000006,-0.3930392083333333,-0.0016153333333333297
1709144270174738,-9.1009186125,0.11494558333333338,-0.30990749999999956,-0.01579045000000001,-0.39272920833333325,-0.0014823333333333077
1709144270176176,-9.1006776125,0.10480958333333334,-0.3024974999999994,-0.015912449999999967,-0.39245920833333325,-0.0016043333333333187
1709144270177611,-9.112812612499999,0.10934458333333341,-0.3092474999999997,-0.01649944999999997,-0.3937092083333332,-0.001083333333333325
1709144270179026,-9.1439716125,0.12302458333333333,-0.30777750000000026,-0.015409449999999991,-0.3941292083333333,-0.0003953333333333031
1709144270180469,-9.1332456125,0.09276658333333343,-0.30287749999999924,-0.01645344999999998,-0.3935692083333332,-0.001981333333333307
1709144270181875,-9.1310316125,0.10396858333333336,-0.2940474999999996,-0.015217449999999966,-0.3929892083333332,-0.001306333333333326
1709144270183338,-9.147646612499999,0.11446858333333343,-0.3014475000000001,-0.01550944999999998,-0.3930592083333332,-0.0011683333333333268
1709144270184755,-9.1522716125,0.10947758333333335,-0.2770975,-0.015335449999999973,-0.39489920833333325,-0.0003603333333333236
1709144270186187,-9.1689986125,0.11910758333333338,-0.30857750000000017,-0.015203450000000007,-0.39420920833333317,-0.0010333333333333028
1709144270187609,-9.160245612499999,0.12900658333333337,-0.2932775000000003,-0.015533450000000004,-0.3945792083333334,-0.0008963333333333046
1709144270189059,-9.155776612499999,0.11777358333333343,-0.28596749999999993,-0.01545344999999998,-0.3954992083333332,-0.0011643333333333228
1709144270190493,-9.1945026125,0.09989858333333335,-0.2552974999999993,-0.014732450000000008,-0.3940092083333332,-0.0012143333333333173
1709144270191900,-9.172785612499998,0.10438158333333336,-0.25460750000000054,-0.015365450000000003,-0.39616920833333336,-0.0007233333333333258
1709144270193330,-9.185440612499999,0.11111958333333338,-0.2780874999999998,-0.015272449999999993,-0.39526920833333323,-0.0011263333333333125
1709144270194810,-9.1854156125,0.12593558333333332,-0.27053749999999965,-0.015312449999999977,-0.3954192083333333,-0.0011183333333333045
1709144270196215,-9.1756466125,0.11105958333333332,-0.24790750000000017,-0.016381449999999964,-0.3954992083333332,-0.0011053333333333193
1709144270197659,-9.1860066125,0.1106105833333334,-0.27743749999999956,-0.015056449999999999,-0.39487920833333334,-0.0007253333333333278
1709144270199106,-9.1891586125,0.10964058333333337,-0.2548174999999997,-0.015720449999999997,-0.3959792083333332,-0.0008393333333333031
1709144270200557,-9.1818456125,0.10868258333333336,-0.26937750000000094,-0.015083449999999998,-0.39543920833333324,-0.0004613333333333136
