t,fx,fy,fz,tx,ty,tz
1708857848429248,-9.1814186125,0.04988058333333334,0.0988825000000002,-0.00491744999999999,-0.4016492083333333,0.009140666666666686
1708857848430684,-9.1981386125,0.05620858333333334,0.13698250000000023,-0.004811449999999995,-0.40246920833333333,0.009058666666666687
1708857848432145,-9.2106236125,0.04552158333333334,0.09868250000000067,-0.004709450000000004,-0.4031992083333332,0.008758666666666692
1708857848433572,-9.215221612499999,0.03776658333333338,0.1292825000000004,-0.004351449999999979,-0.40287920833333335,0.008798666666666677
1708857848434997,-9.227601612499999,0.047768583333333337,0.09948250000000058,-0.004656449999999979,-0.4045192083333332,0.009159666666666677
1708857848436428,-9.2428596125,0.058358583333333325,0.12118249999999975,-0.005606449999999985,-0.4047192083333332,0.008535666666666691
1708857848437846,-9.2644956125,0.028578583333333407,0.10688249999999933,-0.00505644999999999,-0.40569920833333317,0.008794666666666673
1708857848439271,-9.250969612499999,0.06380858333333339,0.14388250000000014,-0.0057464499999999585,-0.4050092083333333,0.008433666666666673
1708857848440696,-9.3066536125,0.12848758333333343,0.2189824999999992,-0.012141449999999998,-0.40601920833333327,0.008683666666666673
1708857848442134,-9.3851396125,-0.03655841666666659,0.19258250000000032,0.002485550000000003,-0.4117192083333333,0.008033666666666689
1708857848443567,-9.3606666125,0.03982758333333336,0.2053825000000007,-0.004331449999999959,-0.4103992083333333,0.007897666666666692
1708857848444986,-9.2556156125,0.09113358333333332,0.226682499999999,-0.009141449999999995,-0.4033092083333333,0.008538666666666694
1708857848446428,-9.216320612499999,-0.04180841666666657,0.0167824999999997,0.00391554999999999,-0.4020792083333332,0.008426666666666693
1708857848447875,-9.256276612499999,0.24202058333333343,0.21078250000000054,-0.012822449999999985,-0.40436920833333334,0.009040666666666697
1708857848449303,-9.3764186125,0.21604958333333335,0.16648250000000075,-0.017594449999999984,-0.4108392083333333,0.009701666666666692
1708857848450740,-9.437408612499999,-0.09703841666666668,0.17888250000000028,0.007767550000000012,-0.41118920833333317,0.007943666666666682
1708857848452160,-9.4130196125,0.1053905833333334,0.2589825000000001,-0.010058449999999997,-0.41411920833333327,0.008760666666666694
1708857848453611,-9.304549612499999,-0.020818416666666728,0.24598250000000021,0.000588550000000021,-0.4051992083333332,0.00912566666666667
1708857848455056,-9.284996612499999,0.01863058333333334,0.12278249999999957,-0.0018444499999999975,-0.40533920833333326,0.008705666666666695
1708857848456489,-9.373833612499999,0.2656365833333334,0.13338249999999974,-0.01920944999999996,-0.4111792083333333,0.00834066666666669
1708857848457891,-9.456961612499999,0.09942758333333335,0.14738249999999908,-0.005463449999999981,-0.4140192083333333,0.009476666666666689
1708857848459324,-9.4007766125,0.13785958333333337,0.15998249999999992,-0.010582449999999965,-0.41075920833333324,0.009064666666666693
1708857848460766,-9.3282216125,0.034317583333333346,0.18458249999999943,-0.004001449999999962,-0.4107892083333332,0.009161666666666679
1708857848462232,-9.266513612499999,-0.04763841666666657,0.14078250000000025,0.003498549999999989,-0.4042492083333332,0.009646666666666692
1708857848463619,-9.3205326125,0.20746958333333343,0.1644825000000001,-0.014920449999999974,-0.4058092083333332,0.00850566666666669
1708857848465057,-9.340947612499999,0.18328858333333342,0.0966825,-0.011230450000000003,-0.4093792083333333,0.008028666666666684
1708857848466486,-9.307630612499999,0.1514775833333334,0.06858249999999977,-0.008361449999999992,-0.40658920833333323,0.009312666666666691
1708857848467937,-9.2485786125,0.20898358333333333,0.12548250000000039,-0.015670450000000002,-0.4029892083333332,0.008419666666666686
1708857848469366,-9.2268176125,0.011191583333333366,0.09988249999999965,-0.0013574499999999823,-0.4048892083333332,0.008763666666666697
1708857848470786,-9.206403612499999,0.06987758333333338,0.1514825000000002,-0.004855449999999983,-0.4014992083333332,0.008694666666666684
1708857848472216,-9.2124536125,0.15984258333333334,0.09708249999999907,-0.011254449999999971,-0.4002292083333333,0.009173666666666691
1708857848473655,-9.2449796125,0.13258358333333342,0.0687824999999993,-0.008013449999999978,-0.4069392083333333,0.009516666666666673
1708857848475092,-9.1789746125,0.24199558333333338,0.0728825000000004,-0.01537744999999996,-0.39803920833333317,0.009395666666666691
1708857848476506,-9.1497566125,0.10989358333333332,0.042982499999999035,-0.007113449999999966,-0.3973992083333332,0.008291666666666697
1708857848477947,-9.1293316125,0.03766858333333334,0.08308249999999973,-0.0027204499999999854,-0.39935920833333316,0.00870066666666669
1708857848479382,-9.1417306125,0.12726358333333343,0.11208249999999964,-0.010200449999999972,-0.4016692083333332,0.008981666666666693
1708857848480836,-9.157952612499999,0.05551158333333339,0.049782499999999175,-0.003139449999999988,-0.3951092083333333,0.007141666666666685
1708857848482265,-9.208167612499999,0.1362625833333334,0.04958249999999964,-0.00956944999999998,-0.4067392083333333,0.007349666666666671
1708857848483706,-9.1216866125,0.1836195833333334,0.08038250000000069,-0.013960449999999958,-0.39611920833333325,0.00923566666666667
1708857848485112,-9.0857966125,0.051726583333333354,0.051982499999999376,-0.004599450000000005,-0.39594920833333325,0.008916666666666684
1708857848486546,-9.059671612499999,0.04815658333333339,0.06488249999999951,-0.004901449999999974,-0.3938392083333332,0.007736666666666697
1708857848488000,-9.1613466125,0.05247158333333335,0.1378824999999999,-0.004244450000000011,-0.4025292083333333,0.009686666666666677
1708857848489423,-9.150324612499999,0.048292583333333416,0.045782499999999615,-0.003450449999999994,-0.39733920833333325,0.009354666666666678
1708857848490886,-9.2443486125,0.0965415833333334,0.07538249999999991,-0.008231449999999974,-0.4054992083333332,0.008873666666666696
